salary_target_eur,fe_log_salary_target_eur,minutes,nineties,matches,starts,fe_start_rate,fe_is_regular_1500min,goals,assists,fe_goal_contribution,fe_goal_contribution_per90,stats_age,fe_age_squared,fe_is_prime_age_24_29,fe_is_young_prospect_u23,fe_salary_vs_league_mean,fe_salary_vs_club_mean,fe_club_mean_salary_target_eur,fe_league_mean_salary_target_eur,pos_DF,pos_FW,pos_GK,pos_MF
940000.0,13.753636,526.0,5.8,12.0,4.0,0.333333,0.0,0.0,0.0,0.0,0.0,33.0,1089.0,0.0,0.0,0.395186,0.405252,2319545.454545,2378628.738298,1.0,0.0,0.0,0.0
2830000.0,14.855788,1547.0,17.2,24.0,18.0,0.75,1.0,0.0,0.0,0.0,0.0,32.0,1024.0,0.0,0.0,1.189761,1.220067,2319545.454545,2378628.738298,1.0,0.0,0.0,0.0
1130000.0,13.937729,347.0,3.9,10.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,1.0,0.475064,0.487164,2319545.454545,2378628.738298,0.0,0.0,0.0,1.0
940000.0,13.753636,1301.0,14.5,31.0,12.0,0.387097,0.0,5.0,0.0,5.0,0.344828,22.0,484.0,0.0,1.0,0.395186,0.405252,2319545.454545,2378628.738298,0.0,0.0,0.0,1.0
660000.0,13.399997,1379.0,15.4,22.0,16.0,0.727273,0.0,3.0,0.0,3.0,0.194805,23.0,529.0,0.0,1.0,0.277471,0.724706,910714.285714,2378628.738298,0.0,0.0,0.0,1.0
1320000.0,14.093143,1571.0,17.5,31.0,14.0,0.451613,1.0,11.0,0.0,11.0,0.628571,22.0,484.0,0.0,1.0,0.554942,0.569077,2319545.454545,2378628.738298,0.0,1.0,0.0,0.0
3400000.0,15.039286,1704.0,18.9,28.0,20.0,0.714286,1.0,2.0,0.0,2.0,0.10582,26.0,676.0,1.0,0.0,1.429395,1.465804,2319545.454545,2378628.738298,0.0,0.0,0.0,1.0
940000.0,13.753636,2077.0,23.1,27.0,26.0,0.962963,1.0,5.0,0.0,5.0,0.21645,19.0,361.0,0.0,1.0,0.395186,0.405252,2319545.454545,2378628.738298,0.0,0.0,0.0,1.0
3020000.0,14.920768,1178.0,13.1,20.0,12.0,0.6,0.0,0.0,0.0,0.0,0.0,23.0,529.0,0.0,1.0,1.269639,1.301979,2319545.454545,2378628.738298,1.0,0.0,0.0,0.0
570000.0,13.253393,446.0,5.0,9.0,7.0,0.777778,0.0,1.0,0.0,1.0,0.2,24.0,576.0,1.0,0.0,0.239634,0.245738,2319545.454545,2378628.738298,0.0,1.0,0.0,0.0
660000.0,13.399997,2037.0,22.6,33.0,25.0,0.757576,1.0,3.0,0.0,3.0,0.132743,31.0,961.0,0.0,0.0,0.277471,0.284539,2319545.454545,2378628.738298,0.0,1.0,0.0,0.0
1890000.0,14.452088,1587.0,17.6,23.0,19.0,0.826087,1.0,2.0,0.0,2.0,0.113636,32.0,1024.0,0.0,0.0,0.794575,0.814815,2319545.454545,2378628.738298,1.0,0.0,0.0,0.0
5660000.0,15.548935,2833.0,31.5,32.0,32.0,1.0,1.0,3.0,0.0,3.0,0.095238,31.0,961.0,0.0,0.0,2.379522,2.440133,2319545.454545,2378628.738298,1.0,0.0,0.0,0.0
